year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,貸借対照表 [タイトル項目],jppfs_cor,BalanceSheetAbstract,duration,,true
2014,cai,bs,貸借対照表 [表],jppfs_cor,BalanceSheetTable,duration,,true
2014,cai,bs,貸借対照表 [表示項目],jppfs_cor,BalanceSheetLineItems,duration,,true
2014,cai,bs,資産の部 [タイトル項目],jppfs_cor,AssetsAbstract,duration,,true
2014,cai,bs,流動資産 [タイトル項目],jppfs_cor,CurrentAssetsAbstract,duration,,true
2014,cai,bs,現金及び預金,jppfs_cor,CashAndDeposits,instant,debit,false
2014,cai,bs,受取手形及び売掛金,jppfs_cor,NotesAndAccountsReceivableTrade,instant,debit,false
2014,cai,bs,貸倒引当金、受取手形及び売掛金,jppfs_cor,AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade,instant,debit,false
2014,cai,bs,受取手形及び売掛金（純額）,jppfs_cor,NotesAndAccountsReceivableTradeNet,instant,debit,false
2014,cai,bs,受取手形,jppfs_cor,NotesReceivableTrade,instant,debit,false
2014,cai,bs,貸倒引当金、受取手形,jppfs_cor,AllowanceForDoubtfulAccountsNotesReceivableTrade,instant,debit,false
2014,cai,bs,受取手形（純額）,jppfs_cor,NotesReceivableTradeNet,instant,debit,false
2014,cai,bs,売掛金,jppfs_cor,AccountsReceivableTrade,instant,debit,false
2014,cai,bs,貸倒引当金、売掛金,jppfs_cor,AllowanceForDoubtfulAccountsAccountsReceivableTrade,instant,debit,false
2014,cai,bs,売掛金（純額）,jppfs_cor,AccountsReceivableTradeNet,instant,debit,false
2014,cai,bs,関係会社売掛金,jppfs_cor,AccountsReceivableFromSubsidiariesAndAffiliatesTrade,instant,debit,false
2014,cai,bs,割賦売掛金,jppfs_cor,AccountsReceivableInstallment,instant,debit,false
2014,cai,bs,開発事業未収入金,jppfs_cor,AccountsReceivableDevelopmentBusiness,instant,debit,false
2014,cai,bs,不動産事業未収入金,jppfs_cor,AccountsReceivableRealEstateBusiness,instant,debit,false
2014,cai,bs,完成業務未収入金,jppfs_cor,AccountsReceivableCompletedOperation,instant,debit,false
